Pitcher,PitcherId,Batter,BatterId,TaggedPitchType,RelSpeed,VertApprAngle,HorzApprAngle,ExitSpeed,Distance
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,ChangeUp,79.59271,-7.376027,1.38181,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Fastball,89.06319,-6.529475,1.441445,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Fastball,90.92704,-2.928535,0.928706,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Fastball,89.96045,-5.352822,1.119711,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Slider,80.02816,-6.980902,-3.295944,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,ChangeUp,83.93469,-7.128109,0.501878,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,ChangeUp,84.42436,-6.869813,1.045219,102.50326,342.2809
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,Slider,80.33222,-6.95144,-1.609129,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,Fastball,90.58341,-6.353856,0.356571,66.84272,3.68591
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,ChangeUp,84.89843,-7.980046,0.929646,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,Slider,80.6635,-6.989488,-0.442878,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,Slider,80.66793,-7.675689,-2.802993,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Lozano, Tyler",1000013465,Slider,81.03999,-8.520981,-4.174373,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Lozano, Tyler",1000013465,Slider,80.61836,-9.670027,-2.809055,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Lozano, Tyler",1000013465,Slider,79.63398,-8.702555,-1.998431,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Lozano, Tyler",1000013465,Fastball,91.22846,-4.355701,0.455268,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Lozano, Tyler",1000013465,Slider,79.09582,-8.58583,-1.985685,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Lozano, Tyler",1000013465,Slider,80.71837,-8.768514,-2.271887,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Fastball,91.37536,-5.466832,0.745675,70.94506,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Fastball,91.0022,-4.812884,-0.571568,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Slider,79.32038,-6.744849,-1.971628,68.63512,85.70063
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Fastball,91.40312,-5.002129,-0.894,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Grace, Jack",1000078696,Slider,80.7743,-6.849529,-1.882248,91.54654,281.43138
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,Curveball,73.0665,-11.472088,-0.084846,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,Fastball,89.14175,-6.684115,0.366344,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,ChangeUp,79.21385,-6.658718,-0.060455,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,Fastball,89.60609,-5.035004,-0.564682,94.26534,324.34632
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Garbowski, Matthew",1000090804,Fastball,89.20217,-6.461729,-0.299295,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Garbowski, Matthew",1000090804,Fastball,89.16921,-4.454205,0.594763,73.29342,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Garbowski, Matthew",1000090804,Curveball,73.35427,-9.546329,-1.139189,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Garbowski, Matthew",1000090804,Fastball,90.75903,-4.4875,-0.313009,65.86143,179.51066
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Garbowski, Matthew",1000090804,ChangeUp,81.32557,-6.764742,0.929666,76.3574,174.32741
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Padilla, Bryan",1000122972,Fastball,88.94435,-6.104945,1.35724,87.44916,254.17793
,,,,,,,,,
"Fogell, Zach ",1000055206,"Hayes, Sterling",8900099,Fastball,90.90727,-4.972273,0.002417,104.08878,221.33797
,,,,,,,,,
"Fogell, Zach",1000055206,"Sailors, Nolan",1000121572,Fastball,92.07981,-5.023025,-0.608615,,
,,,,,,,,,
"Fogell, Zach",1000055206,"Sailors, Nolan",1000121572,Slider,82.10781,-8.624391,5.648125,,
,,,,,,,,,
"Fogell, Zach",1000055206,"Sailors, Nolan",1000121572,Slider,81.64355,-7.966771,2.710034,,
,,,,,,,,,
"Fogell, Zach",1000055206,"Sailors, Nolan",1000121572,Slider,82.82156,-6.97911,5.224612,,
,,,,,,,,,
"Fogell, Zach",1000055206,"Sailors, Nolan",1000121572,Slider,80.91348,-9.013315,3.643001,,
